Voltage V	Current I	Current I
(V)	(A)	(A)
-1.02032	-6.03785E-6	6.03785E-6
-1.0405	-6.45977E-6	6.45977E-6
-1.0604	-6.87198E-6	6.87198E-6
-1.08028	-7.28321E-6	7.28321E-6
-1.10044	-7.79505E-6	7.79505E-6
-1.12036	-8.27353E-6	8.27353E-6
-1.14055	-8.82363E-6	8.82363E-6
-1.1604	-9.36631E-6	9.36631E-6
-1.18026	-9.94964E-6	9.94964E-6
-1.20046	-9.94369E-6	9.94369E-6
-1.22034	-1.06483E-5	1.06483E-5
-1.24055	-1.13774E-5	1.13774E-5
-1.26041	-1.20409E-5	1.20409E-5
-1.28031	-1.27601E-5	1.27601E-5
-1.3005	-1.35285E-5	1.35285E-5
-1.32033	-1.41875E-5	1.41875E-5
-1.34051	-1.50504E-5	1.50504E-5
-1.36042	-1.58969E-5	1.58969E-5
-1.38026	-1.67466E-5	1.67466E-5
-1.40048	-1.75918E-5	1.75918E-5
-1.42033	-1.84647E-5	1.84647E-5
-1.44053	-1.9432E-5	1.9432E-5
-1.46039	-2.04294E-5	2.04294E-5
-1.48031	-2.13681E-5	2.13681E-5
-1.50051	-2.22439E-5	2.22439E-5
-1.52037	-2.3331E-5	2.3331E-5
-1.54054	-2.43456E-5	2.43456E-5
-1.56044	-2.54316E-5	2.54316E-5
-1.58031	-2.66591E-5	2.66591E-5
-1.60049	-2.79025E-5	2.79025E-5
-1.62034	-2.89304E-5	2.89304E-5
-1.64054	-3.03402E-5	3.03402E-5
-1.6604	-3.14213E-5	3.14213E-5
-1.68029	-3.26419E-5	3.26419E-5
-1.70049	-3.3979E-5	3.3979E-5
-1.7204	-3.51777E-5	3.51777E-5
-1.74057	-3.66364E-5	3.66364E-5
-1.76043	-3.81899E-5	3.81899E-5
-1.7803	-3.95075E-5	3.95075E-5
-1.80049	-4.09935E-5	4.09935E-5
-1.82044	-4.23353E-5	4.23353E-5
-1.84057	-4.38219E-5	4.38219E-5
-1.86045	-4.52265E-5	4.52265E-5
-1.88034	-4.6782E-5	4.6782E-5
-1.90056	-4.81933E-5	4.81933E-5
-1.92041	-4.98318E-5	4.98318E-5
-1.94062	-5.16929E-5	5.16929E-5
-1.96048	-5.31012E-5	5.31012E-5
-1.98032	-5.44364E-5	5.44364E-5
-2.00054	-5.64357E-5	5.64357E-5
-2.0204	-5.81231E-5	5.81231E-5
-2.04059	-5.98941E-5	5.98941E-5
-2.06048	-6.16621E-5	6.16621E-5
-2.08066	-6.34954E-5	6.34954E-5
-2.10054	-6.51854E-5	6.51854E-5
-2.12039	-6.70944E-5	6.70944E-5
-2.14063	-6.89989E-5	6.89989E-5
-2.16049	-7.09528E-5	7.09528E-5
-2.1807	-7.29015E-5	7.29015E-5
-2.2006	-7.47536E-5	7.47536E-5
-2.22046	-7.67903E-5	7.67903E-5
-2.24062	-7.77923E-5	7.77923E-5
-2.26054	-7.93761E-5	7.93761E-5
-2.28072	-8.1545E-5	8.1545E-5
-2.30059	-8.32598E-5	8.32598E-5
-2.32041	-8.53049E-5	8.53049E-5
-2.34065	-8.75186E-5	8.75186E-5
-2.36051	-8.9721E-5	8.9721E-5
-2.38073	-9.22545E-5	9.22545E-5
-2.40059	-9.44395E-5	9.44395E-5
-2.42048	-9.65178E-5	9.65178E-5
-2.44065	-9.87763E-5	9.87763E-5
-2.46055	-9.76495E-5	9.76495E-5
-2.48073	-1.00281E-4	1.00281E-4
-2.50063	-1.02607E-4	1.02607E-4
-2.52049	-1.05119E-4	1.05119E-4
-2.54071	-1.07811E-4	1.07811E-4
-2.56057	-1.10408E-4	1.10408E-4
-2.58079	-1.12997E-4	1.12997E-4
-2.60067	-1.1548E-4	1.1548E-4
-2.62054	-1.18341E-4	1.18341E-4
-2.6407	-1.20858E-4	1.20858E-4
-2.66058	-1.235E-4	1.235E-4
-2.6808	-1.26369E-4	1.26369E-4
-2.70066	-1.28869E-4	1.28869E-4
-2.72055	-1.31359E-4	1.31359E-4
-2.74073	-1.33636E-4	1.33636E-4
-2.76061	-1.36002E-4	1.36002E-4
-2.78078	-1.38612E-4	1.38612E-4
-2.80071	-1.41319E-4	1.41319E-4
-2.82063	-1.43751E-4	1.43751E-4
-2.8408	-1.46487E-4	1.46487E-4
-2.86065	-1.48937E-4	1.48937E-4
-2.88088	-1.51687E-4	1.51687E-4
-2.90074	-1.53992E-4	1.53992E-4
-2.92063	-1.56388E-4	1.56388E-4
-2.94082	-1.59241E-4	1.59241E-4
-2.96065	-1.61859E-4	1.61859E-4
-2.98087	-1.64511E-4	1.64511E-4
-3.00074	-1.66518E-4	1.66518E-4
-3.02096	-1.69235E-4	1.69235E-4
-3.04083	-1.7234E-4	1.7234E-4
-3.0607	-1.74727E-4	1.74727E-4
-3.08089	-1.77408E-4	1.77408E-4
-3.10075	-1.79965E-4	1.79965E-4
-3.12099	-1.82518E-4	1.82518E-4
-3.14084	-1.85087E-4	1.85087E-4
-3.16073	-1.87615E-4	1.87615E-4
-3.18091	-1.90497E-4	1.90497E-4
-3.20081	-1.92752E-4	1.92752E-4
-3.22101	-1.95795E-4	1.95795E-4
-3.2409	-1.98129E-4	1.98129E-4
-3.26073	-2.00195E-4	2.00195E-4
-3.2809	-2.03291E-4	2.03291E-4
-3.30083	-2.05616E-4	2.05616E-4
-3.32101	-2.08434E-4	2.08434E-4
-3.34087	-2.10839E-4	2.10839E-4
-3.36075	-2.1291E-4	2.1291E-4
-3.38092	-2.15889E-4	2.15889E-4
-3.40079	-2.19002E-4	2.19002E-4
-3.42101	-2.21622E-4	2.21622E-4
-3.44098	-2.24029E-4	2.24029E-4
-3.46085	-2.26703E-4	2.26703E-4
-3.48098	-2.29263E-4	2.29263E-4
-3.50084	-2.32026E-4	2.32026E-4
-3.52104	-2.34636E-4	2.34636E-4
-3.54092	-2.37255E-4	2.37255E-4
-3.56078	-2.39742E-4	2.39742E-4
-3.581	-2.42177E-4	2.42177E-4
-3.60087	-2.44619E-4	2.44619E-4
-3.62105	-2.47463E-4	2.47463E-4
-3.64092	-2.49946E-4	2.49946E-4
-3.66081	-2.52965E-4	2.52965E-4
-3.68096	-2.56156E-4	2.56156E-4
-3.70088	-2.58346E-4	2.58346E-4
-3.72106	-2.61474E-4	2.61474E-4
-3.74093	-2.64243E-4	2.64243E-4
-3.7608	-2.66893E-4	2.66893E-4
-3.78099	-2.69369E-4	2.69369E-4
-3.80084	-2.72093E-4	2.72093E-4
-3.82104	-2.75363E-4	2.75363E-4
-3.84091	-2.77203E-4	2.77203E-4
-3.86083	-2.79896E-4	2.79896E-4
-3.88098	-2.82846E-4	2.82846E-4
-3.90086	-2.85734E-4	2.85734E-4
-3.92105	-2.8807E-4	2.8807E-4
-3.94092	-2.90868E-4	2.90868E-4
-3.96078	-2.93377E-4	2.93377E-4
-3.981	-2.96038E-4	2.96038E-4
-4.00088	-2.98831E-4	2.98831E-4
-3.981	-2.68682E-4	2.68682E-4
-3.96079	-2.44097E-4	2.44097E-4
-3.94095	-2.22836E-4	2.22836E-4
-3.92104	-2.04117E-4	2.04117E-4
-3.90087	-1.87557E-4	1.87557E-4
-3.881	-1.73132E-4	1.73132E-4
-3.8608	-1.59505E-4	1.59505E-4
-3.84091	-1.4761E-4	1.4761E-4
-3.82104	-1.36839E-4	1.36839E-4
-3.80084	-1.26612E-4	1.26612E-4
-3.78098	-1.1723E-4	1.1723E-4
-3.76078	-1.08534E-4	1.08534E-4
-3.74091	-1.00694E-4	1.00694E-4
-3.72102	-9.29892E-5	9.29892E-5
-3.70079	-8.61412E-5	8.61412E-5
-3.68087	-7.98246E-5	7.98246E-5
-3.66072	-7.38002E-5	7.38002E-5
-3.64084	-6.84282E-5	6.84282E-5
-3.62096	-6.34401E-5	6.34401E-5
-3.6008	-5.882E-5	5.882E-5
-3.58093	-5.45134E-5	5.45134E-5
-3.56069	-5.04699E-5	5.04699E-5
-3.54088	-4.67666E-5	4.67666E-5
-3.52095	-4.32175E-5	4.32175E-5
-3.5008	-4.00393E-5	4.00393E-5
-3.48092	-3.69339E-5	3.69339E-5
-3.46061	-3.41325E-5	3.41325E-5
-3.44087	-3.15786E-5	3.15786E-5
-3.42096	-2.91906E-5	2.91906E-5
-3.40077	-2.69022E-5	2.69022E-5
-3.3809	-2.48664E-5	2.48664E-5
-3.36072	-2.29199E-5	2.29199E-5
-3.3408	-2.11519E-5	2.11519E-5
-3.32096	-1.95766E-5	1.95766E-5
-3.30077	-1.8007E-5	1.8007E-5
-3.28091	-1.66069E-5	1.66069E-5
-3.26071	-1.52892E-5	1.52892E-5
-3.24088	-1.4029E-5	1.4029E-5
-3.22098	-1.29387E-5	1.29387E-5
-3.20079	-1.18992E-5	1.18992E-5
-3.18087	-1.09316E-5	1.09316E-5
-3.16072	-1.00736E-5	1.00736E-5
-3.1408	-9.29305E-6	9.29305E-6
-3.12097	-8.53057E-6	8.53057E-6
-3.10074	-7.82117E-6	7.82117E-6
-3.08089	-7.17979E-6	7.17979E-6
-3.06066	-6.57865E-6	6.57865E-6
-3.04079	-6.02375E-6	6.02375E-6
-3.02091	-5.51699E-6	5.51699E-6
-3.00071	-5.04892E-6	5.04892E-6
-2.98083	-4.62377E-6	4.62377E-6
-2.96063	-4.23241E-6	4.23241E-6
-2.94076	-3.86136E-6	3.86136E-6
-2.9206	-3.526E-6	3.526E-6
-2.90071	-3.21807E-6	3.21807E-6
-2.88085	-2.94256E-6	2.94256E-6
-2.86064	-2.68232E-6	2.68232E-6
-2.8408	-2.44973E-6	2.44973E-6
-2.82062	-2.23592E-6	2.23592E-6
-2.80071	-2.0416E-6	2.0416E-6
-2.78077	-1.85501E-6	1.85501E-6
-2.76061	-1.68827E-6	1.68827E-6
-2.74072	-1.54429E-6	1.54429E-6
-2.72053	-1.40624E-6	1.40624E-6
-2.70065	-1.27562E-6	1.27562E-6
-2.68077	-1.1582E-6	1.1582E-6
-2.66057	-1.05259E-6	1.05259E-6
-2.64067	-9.64749E-7	9.64749E-7
-2.62052	-8.74368E-7	8.74368E-7
-2.60064	-7.922E-7	7.922E-7
-2.58079	-7.16858E-7	7.16858E-7
-2.56056	-6.49864E-7	6.49864E-7
-2.54069	-5.87862E-7	5.87862E-7
-2.5205	-5.32292E-7	5.32292E-7
-2.50063	-4.81283E-7	4.81283E-7
-2.48075	-4.3751E-7	4.3751E-7
-2.46056	-3.94835E-7	3.94835E-7
-2.44068	-3.56319E-7	3.56319E-7
-2.42051	-3.21742E-7	3.21742E-7
-2.40061	-2.91683E-7	2.91683E-7
-2.38075	-2.63581E-7	2.63581E-7
-2.36054	-2.38357E-7	2.38357E-7
-2.34068	-2.13873E-7	2.13873E-7
-2.32047	-1.93213E-7	1.93213E-7
-2.30059	-1.74081E-7	1.74081E-7
-2.28075	-1.56773E-7	1.56773E-7
-2.26053	-1.40893E-7	1.40893E-7
-2.24067	-1.27503E-7	1.27503E-7
-2.22045	-1.14495E-7	1.14495E-7
-2.20056	-1.03346E-7	1.03346E-7
-2.18073	-9.52158E-8	9.52158E-8
-2.16054	-8.87E-8	8.87E-8
-2.14067	-7.94417E-8	7.94417E-8
-2.12046	-7.08712E-8	7.08712E-8
-2.10062	-6.33888E-8	6.33888E-8
-2.08071	-5.68903E-8	5.68903E-8
-2.06055	-5.09824E-8	5.09824E-8
-2.04065	-4.5827E-8	4.5827E-8
-2.02047	-4.10561E-8	4.10561E-8
-2.00062	-3.68083E-8	3.68083E-8
-1.98041	-3.30215E-8	3.30215E-8
-1.96055	-2.95669E-8	2.95669E-8
-1.94068	-2.64645E-8	2.64645E-8
-1.92046	-2.36534E-8	2.36534E-8
-1.9006	-2.11507E-8	2.11507E-8
-1.88038	-1.88719E-8	1.88719E-8
-1.86052	-1.68899E-8	1.68899E-8
-1.84064	-1.51118E-8	1.51118E-8
-1.82042	-1.35314E-8	1.35314E-8
-1.80052	-1.2023E-8	1.2023E-8
-1.78034	-1.07499E-8	1.07499E-8
-1.76045	-9.5955E-9	9.5955E-9
-1.74058	-8.59998E-9	8.59998E-9
-1.72039	-7.66312E-9	7.66312E-9
-1.70049	-6.81695E-9	6.81695E-9
-1.68033	-6.06446E-9	6.06446E-9
-1.66045	-5.39401E-9	5.39401E-9
-1.64058	-4.80171E-9	4.80171E-9
-1.62035	-4.27285E-9	4.27285E-9
-1.60052	-3.78242E-9	3.78242E-9
-1.58029	-3.35038E-9	3.35038E-9
-1.56046	-2.97927E-9	2.97927E-9
-1.54057	-2.64931E-9	2.64931E-9
-1.52035	-2.33331E-9	2.33331E-9
-1.50048	-2.0537E-9	2.0537E-9
-1.4803	-1.80956E-9	1.80956E-9
-1.46037	-1.59249E-9	1.59249E-9
-1.44053	-1.39799E-9	1.39799E-9
-1.42031	-1.22356E-9	1.22356E-9
-1.40044	-1.07522E-9	1.07522E-9
-1.38022	-9.39119E-10	9.39119E-10
-1.36034	-8.17394E-10	8.17394E-10
-1.34046	-7.14588E-10	7.14588E-10
-1.32028	-6.20854E-10	6.20854E-10
-1.30041	-5.48041E-10	5.48041E-10
-1.28025	-4.81951E-10	4.81951E-10
-1.26032	-4.24385E-10	4.24385E-10
-1.24045	-3.75366E-10	3.75366E-10
-1.22024	-3.30698E-10	3.30698E-10
-1.20038	-2.99549E-10	2.99549E-10
-1.1802	-2.64978E-10	2.64978E-10
-1.16032	-2.37823E-10	2.37823E-10
-1.14046	-2.11275E-10	2.11275E-10
-1.12027	-1.86968E-10	1.86968E-10
-1.1004	-1.61076E-10	1.61076E-10
-1.08019	-1.35505E-10	1.35505E-10
-1.06032	-1.13201E-10	1.13201E-10
-1.04047	-9.06467E-11	9.06467E-11
-1.02024	-7.025E-11	7.025E-11
-1.00036	-4.81367E-11	4.81367E-11
-0.98016	-2.58088E-11	2.58088E-11
-0.960317	-8.01086E-12	8.01086E-12
-0.94013	1.15991E-11	1.15991E-11
-0.920231	2.99215E-11	2.99215E-11
-0.900366	5.13554E-11	5.13554E-11
-0.880144	6.46472E-11	6.46472E-11
-0.860276	7.8094E-11	7.8094E-11
-0.840077	9.52363E-11	9.52363E-11
-0.820198	1.10221E-10	1.10221E-10
-0.800288	1.28281E-10	1.28281E-10
-0.780144	1.405E-10	1.405E-10
-0.76025	1.51849E-10	1.51849E-10
